code,name,description,refreshed_at,from_date,to_date
RAWLPLUG,"Stock Prices for RAWLPLUG, ISIN PLKLNR000017, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: RAWLPLUG<br><br>ISIN: PLKLNR000017<br><br>Currency: PLN,2020-04-24 18:30:34,2013-07-10,2020-04-24
REDAN,"Stock Prices for REDAN, ISIN PLREDAN00019, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: REDAN<br><br>ISIN: PLREDAN00019<br><br>Currency: PLN,2020-04-24 18:30:34,2003-12-30,2020-04-24
REDWOOD,"Stock Prices for REDWOOD, ISIN PLCMPLX00014, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: REDWOOD<br><br>ISIN: PLCMPLX00014<br><br>Currency: PLN,2020-01-31 18:30:50,2014-06-06,2020-01-31
REGNON,"Stock Prices for REGNON, ISIN PLPRNTC00017, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: REGNON<br><br>ISIN: PLPRNTC00017<br><br>Currency: PLN,2020-04-24 18:30:34,2012-05-30,2020-04-24
REINHOLD,"Stock Prices for REINHOLD, ISIN SE0001856519, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: REINHOLD<br><br>ISIN: SE0001856519<br><br>Currency: PLN,2020-04-24 18:30:34,2007-12-13,2020-04-24
REINO,"Stock Prices for REINO, ISIN PLWDM0000029, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: REINO<br><br>ISIN: PLWDM0000029<br><br>Currency: PLN,2020-04-24 18:30:34,2019-01-23,2020-04-24
RELPOL,"Stock Prices for RELPOL, ISIN PLRELPL00014, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: RELPOL<br><br>ISIN: PLRELPL00014<br><br>Currency: PLN,2020-04-24 18:30:34,1996-02-01,2020-04-24
REMAK,"Stock Prices for REMAK, ISIN PLREMAK00016, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: REMAK<br><br>ISIN: PLREMAK00016<br><br>Currency: PLN,2020-04-24 18:30:34,1994-11-23,2020-04-24
RESBUD,"Stock Prices for RESBUD, ISIN EE3100142985, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: RESBUD<br><br>ISIN: EE3100142985<br><br>Currency: PLN,2020-04-24 18:30:34,2007-09-27,2020-04-24
RESPECT,Warsaw Stock Exchange Indices: RESPECT,Index: RESPECT<br><br>ISIN: PL9999999540,2020-01-06 20:01:45,2016-10-03,2019-12-30
RMFFM,"Stock Prices for RMFFM, ISIN PLBKRFM00037, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: RMFFM<br><br>ISIN: PLBKRFM00037<br><br>Currency: PLN,2016-09-12 17:17:06,2004-07-14,2007-06-14
ROBYG,"Stock Prices for ROBYG, ISIN PLROBYG00016, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ROBYG<br><br>ISIN: PLROBYG00016<br><br>Currency: PLN,2018-05-28 18:31:06,2010-12-06,2018-05-28
RONSON,"Stock Prices for RONSON, ISIN NL0006106007, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: RONSON<br><br>ISIN: NL0006106007<br><br>Currency: PLN,2020-04-24 18:30:34,2007-11-05,2020-04-24
ROPCZYCE,"Stock Prices for ROPCZYCE, ISIN PLROPCE00017, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ROPCZYCE<br><br>ISIN: PLROPCE00017<br><br>Currency: PLN,2020-04-24 18:30:34,1997-12-16,2020-04-24
ROVESE,"Stock Prices for ROVESE, ISIN PLCRSNT00011, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ROVESE<br><br>ISIN: PLCRSNT00011<br><br>Currency: PLN,2016-09-12 14:44:45,2012-01-18,2016-08-29
RUBICON,"Stock Prices for RUBICON, ISIN PLNFI0500012, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: RUBICON<br><br>ISIN: PLNFI0500012<br><br>Currency: PLN,2020-04-24 18:30:34,2007-12-07,2020-04-24
RUCH,"Stock Prices for RUCH, ISIN PLRUCH000014, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: RUCH<br><br>ISIN: PLRUCH000014<br><br>Currency: PLN,2016-09-12 16:58:59,2007-01-31,2011-01-14
RYVU,"Stock Prices for RYVU, ISIN PLSELVT00013, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: RYVU<br><br>ISIN: PLSELVT00013<br><br>Currency: PLN,2020-04-24 18:30:34,2019-10-09,2020-04-24
SADOVAYA,"Stock Prices for SADOVAYA, ISIN LU0564351582, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: SADOVAYA<br><br>ISIN: LU0564351582<br><br>Currency: PLN,2020-04-24 18:30:34,2010-12-30,2020-04-24
SANOK,"Stock Prices for SANOK, ISIN PLSTLSK00016, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: SANOK<br><br>ISIN: PLSTLSK00016<br><br>Currency: PLN,2020-04-24 18:30:34,1997-01-16,2020-04-24
